[WIN] 2026-05-12 01:36:12 | CPU: 25.00% | Temp: 57°C | GPU: 7.00% | Mem: 94.92% | Disk: 95.31%
[WIN] 2026-05-12 01:36:16 | CPU: 25.00% | Temp: 60°C | GPU: 15.00% | Mem: 95.12% | Disk: 95.31%
[WIN] 2026-05-12 01:36:21 | CPU: 25.00% | Temp: 61°C | GPU: 15.00% | Mem: 95.33% | Disk: 95.31%
[WIN] 2026-05-12 01:36:25 | CPU: -50.00% | Temp: 66°C | GPU: 10.00% | Mem: 95.95% | Disk: 95.31%
[WIN] 2026-05-12 01:36:29 | CPU: -50.00% | Temp: 63°C | GPU: 10.00% | Mem: 95.82% | Disk: 95.31%
[WIN] 2026-05-12 01:36:34 | CPU: -50.00% | Temp: 62°C | GPU: 4.00% | Mem: 95.67% | Disk: 95.31%
[WIN] 2026-05-12 01:36:38 | CPU: -60.00% | Temp: 61°C | GPU: 8.00% | Mem: 95.93% | Disk: 95.31%
[WIN] 2026-05-12 01:36:43 | CPU: -60.00% | Temp: 62°C | GPU: 6.00% | Mem: 95.43% | Disk: 95.31%
[WIN] 2026-05-12 01:36:47 | CPU: 30.00% | Temp: 61°C | GPU: 7.00% | Mem: 95.47% | Disk: 95.31%
[WIN] 2026-05-12 01:36:51 | CPU: 25.00% | Temp: 62°C | GPU: 4.00% | Mem: 95.37% | Disk: 95.31%
[WIN] 2026-05-12 01:36:56 | CPU: 30.00% | Temp: 61°C | GPU: 6.00% | Mem: 95.31% | Disk: 95.31%
[WIN] 2026-05-12 01:37:00 | CPU: 30.00% | Temp: 62°C | GPU: 21.00% | Mem: 95.07% | Disk: 95.31%
[WIN] 2026-05-12 01:37:05 | CPU: 20.00% | Temp: 61°C | GPU: 4.00% | Mem: 94.75% | Disk: 95.31%
[WIN] 2026-05-12 01:37:09 | CPU: 20.00% | Temp: 60°C | GPU: 3.00% | Mem: 94.90% | Disk: 95.31%
[WIN] 2026-05-12 01:37:13 | CPU: 20.00% | Temp: 60°C | GPU: 10.00% | Mem: 95.08% | Disk: 95.31%
